구분,1 Depth,2 Depth,3 Depth,4 Depth,접근 회원 유형,상세 설명 및 비즈니스 로직 (XLSX 기반)
PC,Mall,간편주문,카테고리별,,전회원,최근 구매 카테고리 우선 노출
PC,Mall,정기배송(DDS),,,,DDS 회원,사업자 인증 + 임플란트 PKG 보유 필수
PC,Mall,임플란트,카테고리,,,치과(101),
PC,Mall,의약품 카테고리,,,,병의원(101, 102),의료기관 인증 회원 전용
PC,My Mall,나의 구매 내역,주문/배송 조회,,전회원,최대 5년까지 조회 가능
PC,My Mall,나의 구매 내역,반품 신청,,전회원,주문일로부터 3개월 이내 품목만 가능
PC,My Mall,내 치과 정보 관리,거래처 관리,,네트워크 치과,가맹점/법인 회원 전용 대시보드
Mobile,홈,맞춤 큐레이션,오늘의 추천 영상,,전회원,XLSX 가중치 로직 적용 (영상 우선)
Mobile,홈,퀵메뉴,스캔주문,,전회원,카메라 바코드 스캔 주문
Mobile,홈,회원별 퀵링크,DDS주문,,DDS 회원,임플란트 PKG 보유 체크
Mobile,카테고리,쇼핑,임플란트,,치과(101),XLSX 1~6 Depth 구조 반영
Mobile,카테고리,쇼핑,의약품,,병의원(101,102),의료기관 인증 필수
Mobile,마이몰,구매 관리,주문/배송 조회,,전회원,최대 5년 조회
Mobile,마이몰,DDS 관리,정기배송 현황,,DDS 회원,다음 배송일 및 품목 변경 최적화
Mobile,마이몰,활동/혜택,나의 리뷰,,전회원,모바일 포토 리뷰 최적화
